lon,lat,price,finished_squarefeet,year_built,date,address,city,state,zip,acres,num_dwellings,class,condition,total_squarefeet,bedrooms,full_baths,half_baths,month,address_city
-123.2803,44.57808,267500,1520,1967,2015-12-31T00:00:00Z,1112 NW 26TH ST,CORVALLIS,OR,97330-4331,0.18,1,Dwelling,AV,2192,5,2,0,12,"1112 NW 26TH ST, CORVALLIS, OR"
-123.233,44.59718,255000,1665,1990,2015-12-31T00:00:00Z,1221 NE CONROY PL,CORVALLIS,OR,97330,0.13,1,Dwelling,AV,2193,3,2,1,12,"1221 NE CONROY PL, CORVALLIS, OR"
-123.2635,44.56923,295000,1440,1948,2015-12-31T00:00:00Z,440 NW 7TH ST,CORVALLIS,OR,97330-6308,0.12,1,Dwelling,G,1860,3,2,0,12,"440 NW 7TH ST, CORVALLIS, OR"
-123.2599,44.59453,5000,784,1978,2015-12-31T00:00:00Z,2655 NW HIGHLAND DR SPACE 104,CORVALLIS,OR,97330-3654,0,1,Mobile Home,F,784,0,1,0,12,"2655 NW HIGHLAND DR SPACE 104, CORVALLIS, OR"
-123.2632,44.53606,13950,1344,1979,2015-12-31T00:00:00Z,300 SE GOODNIGHT AVE SPACE 7,CORVALLIS,OR,97333-2163,0,1,Mobile Home,AV,1344,0,2,0,12,"300 SE GOODNIGHT AVE SPACE 7, CORVALLIS, OR"
-123.2847,44.59877,233000,1567,2002,2015-12-30T00:00:00Z,3006 NW MORNING GLORY DR,CORVALLIS,OR,97330,0.04,1,Dwelling,AV,2007,3,2,1,12,"3006 NW MORNING GLORY DR, CORVALLIS, OR"
-123.2363,44.60304,245000,1174,1972,2015-12-30T00:00:00Z,3545 NE CANTERBURY CIR,CORVALLIS,OR,97330-4007,0.23,1,Dwelling,G,1678,3,1,1,12,"3545 NE CANTERBURY CIR, CORVALLIS, OR"
-123.2662,44.59349,216000,912,1970,2015-12-30T00:00:00Z,1236 NW WALNUT BLVD,CORVALLIS,OR,97330-3605,0.22,1,Dwelling,AV,1440,3,1,0,12,"1236 NW WALNUT BLVD, CORVALLIS, OR"
-123.2842,44.5987,231000,1404,2002,2015-12-29T00:00:00Z,2997 NW MORNING GLORY DR,CORVALLIS,OR,97330,0.03,1,Dwelling,AV,1604,3,2,1,12,"2997 NW MORNING GLORY DR, CORVALLIS, OR"
-123.3095,44.55197,215000,1060,1959,2015-12-29T00:00:00Z,5075 SW PHILOMATH BLVD,CORVALLIS,OR,97333,0.44,1,Dwelling,G,2010,3,1,1,12,"5075 SW PHILOMATH BLVD, CORVALLIS, OR"
-123.2602,44.59555,307000,1500,1998,2015-12-29T00:00:00Z,941 NW ANJNI CIR,CORVALLIS,OR,97330,0.12,1,Dwelling,AV,2124,3,2,1,12,"941 NW ANJNI CIR, CORVALLIS, OR"
-123.2926,44.59458,385000,1883,1971,2015-12-24T00:00:00Z,3763 NW CAMAS PL,CORVALLIS,OR,97330-3414,0.2,1,Dwelling,G,2366,5,3,0,12,"3763 NW CAMAS PL, CORVALLIS, OR"
-123.2463,44.59462,70000,1512,1998,2015-12-24T00:00:00Z,2601 NE JACK LONDON ST SPACE 113,CORVALLIS,OR,97330,0,1,Mobile Home,AV,1824,0,2,0,12,"2601 NE JACK LONDON ST SPACE 113, CORVALLIS, OR"
-123.2721,44.57088,435350,2822,1938,2015-12-23T00:00:00Z,411 NW 16TH ST,CORVALLIS,OR,97330-5706,0.11,1,Dwelling,G,3062,6,3,0,12,"411 NW 16TH ST, CORVALLIS, OR"
-123.2497,44.59052,3000,540,1963,2015-12-23T00:00:00Z,755 NE CIRCLE BLVD SPACE 19,CORVALLIS,OR,97330,0,1,Mobile Home,G,540,0,1,0,12,"755 NE CIRCLE BLVD SPACE 19, CORVALLIS, OR"
-123.2279,44.597,200000,1855,1972,2015-12-21T00:00:00Z,2150 NE CONIFER BLVD,CORVALLIS,OR,97330,1,1,Dwelling,F,3495,4,2,1,12,"2150 NE CONIFER BLVD, CORVALLIS, OR"
-123.276,44.58375,295900,1960,1967,2015-12-21T00:00:00Z,1637 TO 1639 NW KINGS BLVD,CORVALLIS,OR,97330,0.13,1,Dwelling,AV,2680,5,2,1,12,"1637 TO 1639 NW KINGS BLVD, CORVALLIS, OR"
-123.3006,44.55468,193000,1316,1952,2015-12-18T00:00:00Z,4345 SW PHILOMATH BLVD,CORVALLIS,OR,97333,0.25,1,Dwelling,AV,1627,3,1,0,12,"4345 SW PHILOMATH BLVD, CORVALLIS, OR"
-123.2304,44.59076,243000,1872,1965,2015-12-18T00:00:00Z,1964 NE SEAVY AVE,CORVALLIS,OR,97330-4246,0.34,1,Dwelling,AV,2352,3,2,0,12,"1964 NE SEAVY AVE, CORVALLIS, OR"
-123.2747,44.57214,279900,2278,1926,2015-12-18T00:00:00Z,447 NW KINGS BLVD,CORVALLIS,OR,97330,0.17,1,Dwelling,AV,2926,3,2,0,12,"447 NW KINGS BLVD, CORVALLIS, OR"
-123.2881,44.579,349000,1875,1890,2015-12-18T00:00:00Z,3333 NW GRANT AVE,CORVALLIS,OR,97330-2347,0.33,1,Dwelling,G,2163,3,1,0,12,"3333 NW GRANT AVE, CORVALLIS, OR"
-123.3004,44.54408,525000,2873,2004,2015-12-17T00:00:00Z,2145 SW 45TH ST,CORVALLIS,OR,97333,0.17,1,Dwelling,AV,3641,3,2,1,12,"2145 SW 45TH ST, CORVALLIS, OR"
-123.2597,44.60092,387000,2216,1976,2015-12-17T00:00:00Z,3446 NW MAXINE CIR,CORVALLIS,OR,97330-3728,0.3,1,Dwelling,G,2792,4,3,0,12,"3446 NW MAXINE CIR, CORVALLIS, OR"
-123.2637,44.54313,190000,2568,1961,2015-12-15T00:00:00Z,330 SE VIEWMONT AVE,CORVALLIS,OR,97333,0.3,1,Dwelling,AV,3064,5,2,0,12,"330 SE VIEWMONT AVE, CORVALLIS, OR"
-123.2898,44.55221,16465,1282,1993,2015-12-15T00:00:00Z,1431 SW BIRDIE DR,CORVALLIS,OR,97333,0.15,1,Dwelling,G,1682,3,2,0,12,"1431 SW BIRDIE DR, CORVALLIS, OR"
-123.2958,44.54746,752700,4258,2007,2015-12-15T00:00:00Z,1740 SW PINEHURST PL,CORVALLIS,OR,97333,0.22,1,Dwelling,AV,5207,3,3,1,12,"1740 SW PINEHURST PL, CORVALLIS, OR"
-123.2471,44.58922,10000000,0,NA,2015-12-15T00:00:00Z,2120 NE JACK LONDON ST,CORVALLIS,OR,97330,0.18,0,"NA",0,0,0,0,0,12,"2120 NE JACK LONDON ST, CORVALLIS, OR"
-123.2462,44.59142,10000000,0,NA,2015-12-15T00:00:00Z,2121 NE JACK LONDON ST,CORVALLIS,OR,97330,0,0,Commercial,AV,10,0,0,0,12,"2121 NE JACK LONDON ST, CORVALLIS, OR"
-123.2462,44.59142,10000000,0,1997,2015-12-15T00:00:00Z,2121 NE JACK LONDON ST BLDG A-B,CORVALLIS,OR,97330,10.19,0,Commercial,0,192991,0,0,0,12,"2121 NE JACK LONDON ST BLDG A-B, CORVALLIS, OR"
-123.2595,44.59157,240000,1058,1968,2015-12-15T00:00:00Z,972 NW CYPRESS AVE,CORVALLIS,OR,97330,0.22,1,Dwelling,AV,1562,3,1,0,12,"972 NW CYPRESS AVE, CORVALLIS, OR"
-123.2848,44.57479,145845,1388,1949,2015-12-15T00:00:00Z,3007 NW TAYLOR AVE,CORVALLIS,OR,97330-5128,0.15,1,Dwelling,F,2690,3,2,0,12,"3007 NW TAYLOR AVE, CORVALLIS, OR"
-123.2551,44.59246,340000,2128,1971,2015-12-15T00:00:00Z,603 NW LINDEN AVE,CORVALLIS,OR,97330,0.23,1,Dwelling,AV,2940,5,3,0,12,"603 NW LINDEN AVE, CORVALLIS, OR"
-123.2698,44.57262,256500,0,1905,2015-12-14T00:00:00Z,626 NW 14TH ST,CORVALLIS,OR,97330-5912,0.11,2,Dwelling,0,2608,0,0,0,12,"626 NW 14TH ST, CORVALLIS, OR"
-123.2471,44.58922,10000000,0,NA,2015-12-11T00:00:00Z,2120 NE JACK LONDON ST,CORVALLIS,OR,97330,0.18,0,"NA",0,0,0,0,0,12,"2120 NE JACK LONDON ST, CORVALLIS, OR"
-123.2462,44.59142,10000000,0,NA,2015-12-11T00:00:00Z,2121 NE JACK LONDON ST,CORVALLIS,OR,97330,0,0,Commercial,AV,10,0,0,0,12,"2121 NE JACK LONDON ST, CORVALLIS, OR"
-123.2462,44.59142,10000000,0,1997,2015-12-11T00:00:00Z,2121 NE JACK LONDON ST BLDG A-B,CORVALLIS,OR,97330,10.19,0,Commercial,0,192991,0,0,0,12,"2121 NE JACK LONDON ST BLDG A-B, CORVALLIS, OR"
-123.3054,44.59231,420000,2584,1996,2015-12-11T00:00:00Z,2546 NW ACEY WAY,CORVALLIS,OR,97330,0.22,1,Dwelling,AV,3260,4,2,1,12,"2546 NW ACEY WAY, CORVALLIS, OR"
-123.2497,44.59052,26000,924,1994,2015-12-11T00:00:00Z,755 NE CIRCLE BLVD SPACE 42,CORVALLIS,OR,97330-4252,0,1,Mobile Home,AV,924,0,2,0,12,"755 NE CIRCLE BLVD SPACE 42, CORVALLIS, OR"
-123.2542,44.59801,329900,1700,1974,2015-12-10T00:00:00Z,553 NW MAXINE AVE,CORVALLIS,OR,97330,0.21,1,Dwelling,G,2168,3,2,1,12,"553 NW MAXINE AVE, CORVALLIS, OR"
-123.2649,44.59705,315000,2467,1978,2015-12-10T00:00:00Z,1156 NW CHARLEMAGNE PL,CORVALLIS,OR,97330-3626,0.17,1,Dwelling,G,2995,3,2,1,12,"1156 NW CHARLEMAGNE PL, CORVALLIS, OR"
